1mM Cacl2 0.1mM EDTA Group B 21723Fit_X,1mM Cacl2 0.1mM EDTA Group B 21723Fit_Y,1mM Cacl2 0.1mM EDTA Group B 21723_X,1mM Cacl2 0.1mM EDTA Group B 21723_Y
0.019002,-5.004188,0.11456,-5.084323
0.11456,-4.995346,0.211018,-5.120317
0.211018,-4.974868,0.308377,-4.950871
0.308377,-4.941558,0.406638,-4.753312
0.406638,-4.882928,0.505799,-4.67661
0.505799,-4.767047,0.605862,-4.418718
0.605862,-4.499563,0.706826,-3.857821
0.706826,-3.801226,0.808691,-2.406029
0.808691,-2.383834,0.911457,-1.085004
0.911457,-1.106888,1.015124,-0.486665
1.015124,-0.549559,1.119692,-0.270089
1.119692,-0.336683,1.225162,-0.318144
1.225162,-0.242676,1.331532,-0.190731
1.331532,-0.194501,1.438803,-0.188457
1.438803,-0.16687,1.546976,-0.1976
1.546976,-0.149638,1.65605,-0.144876
1.65605,-0.13818,1.766025,-0.105102
1.766025,-0.130166,1.876901,-0.131185
1.876901,-0.124325,,
